search the commit whose author is Niu;author ( Niu )
search the commit whose committer is Niu;committer ( Niu )
search my commit;committer ( me )
locate my commit;committer ( me )
retrieve my commit;committer ( me )
search for my commit;committer ( me )
uncover my commit;committer ( me )
seek out my commit;committer ( me )
track down my commit;committer ( me )
identify my commit;committer ( me )
retrieve the commit i made;committer ( me )
find the commit i submitted;committer ( me )
locate the commit i created;committer ( me )
discover the commit i made;committer ( me )
search for the commit i authored;committer ( me )
uncover the commit i pushed;committer ( me )
seek out the commit i committed;committer ( me )
track down the commit i added;committer ( me )
identify the commit i contributed;committer ( me )
retrieve the commit i modified;committer ( me )
find the commit i pushed;committer ( me )
locate the commit i revised;committer ( me )
discover the commit i amended;committer ( me )
search for the commit i updated;committer ( me )
uncover the commit i synchronized;committer ( me )
seek out the commit i merged;committer ( me )
track down the commit i integrated;committer ( me )
identify the commit i merged;committer ( me )
retrieve the commit i applied;committer ( me )
find the commit i staged;committer ( me )
locate the commit i finalized;committer ( me )
discover the commit i published;committer ( me )
search for the commit i released;committer ( me )
uncover the commit i deployed;committer ( me )
seek out the commit i rolled out;committer ( me )
track down the commit i pushed live;committer ( me )
identify the commit i committed to the repository;committer ( me )
retrieve the commit i checked in;committer ( me )
find the commit i verified;committer ( me )
locate the commit i validated;committer ( me )
discover the commit i confirmed;committer ( me )
search for the commit i accepted;committer ( me )
uncover the commit i approved;committer ( me )
seek out the commit i authorized;committer ( me )
track down the commit i confirmed;committer ( me )
identify the commit i signed off on;committer ( me )
retrieve the commit i sealed;committer ( me )
find the commit i marked as complete;committer ( me )
locate the commit i closed;committer ( me )
discover the commit i resolved;committer ( me )
search for the commit i marked as resolved;committer ( me )
uncover the commit i marked as finished;committer ( me )
seek out the commit i marked as done;committer ( me )
track down the commit i labeled;committer ( me )
identify the commit i tagged;committer ( me )
retrieve the commit i annotated;committer ( me )
find the commit i labeled with a tag;committer ( me )
locate the commit i associated with a tag;committer ( me )
discover the commit i tagged for release;committer ( me )
search for the commit i labeled as a release;committer ( me )
uncover the commit i flagged;committer ( me )
seek out the commit i marked for attention;committer ( me )
track down the commit i highlighted;committer ( me )
identify the commit i singled out;committer ( me )
retrieve the commit i pointed to;committer ( me )
find the commit i indicated;committer ( me )
give the commit belong to Jack;committer ( Jack )
locate Jack's commit;committer ( Jack )
retrieve Jack's commit;committer ( Jack )
search for Jack's commit;committer ( Jack )
uncover Jack's commit;committer ( Jack )
seek out Jack's commit;committer ( Jack )
track down Jack's commit;committer ( Jack )
identify Jack's commit;committer ( Jack )
retrieve the commit Jack made;committer ( Jack )
find the commit Jack submitted;committer ( Jack )
locate the commit Jack created;committer ( Jack )
discover the commit Jack made;committer ( Jack )
search for the commit Jack authored;committer ( Jack )
uncover the commit Jack pushed;committer ( Jack )
seek out the commit Jack committed;committer ( Jack )
track down the commit Jack added;committer ( Jack )
identify the commit Jack contributed;committer ( Jack )
retrieve the commit Jack modified;committer ( Jack )
find the commit Jack pushed;committer ( Jack )
locate the commit Jack revised;committer ( Jack )
discover the commit Jack added;committer ( Jack )
search for the commit Jack updated;committer ( Jack )
uncover the commit Jack synchronized;committer ( Jack )
seek out the commit Jack merged;committer ( Jack )
track down the commit Jack integrated;committer ( Jack )
identify the commit Jack merged;committer ( Jack )
retrieve the commit Jack applied;committer ( Jack )
find the commit Jack staged;committer ( Jack )
locate the commit Jack finalized;committer ( Jack )
discover the commit Jack published;committer ( Jack )
search for the commit Jack released;committer ( Jack )
uncover the commit Jack deployed;committer ( Jack )
seek out the commit Jack rolled out;committer ( Jack )
track down the commit Jack pushed live;committer ( Jack )
identify the commit Jack committed to the repository;committer ( Jack )
retrieve the commit Jack checked in;committer ( Jack )
find the commit Jack verified;committer ( Jack )
locate the commit Jack validated;committer ( Jack )
discover the commit Jack confirmed;committer ( Jack )
search for the commit Jack accepted;committer ( Jack )
uncover the commit Jack approved;committer ( Jack )
seek out the commit Jack authorized;committer ( Jack )
track down the commit Jack confirmed;committer ( Jack )
identify the commit Jack signed off on;committer ( Jack )
retrieve the commit Jack sealed;committer ( Jack )
find the commit Jack marked as complete;committer ( Jack )
locate the commit Jack closed;committer ( Jack )
discover the commit Jack resolved;committer ( Jack )
search for the commit Jack marked as resolved;committer ( Jack )
uncover the commit Jack marked as finished;committer ( Jack )
seek out the commit Jack marked as done;committer ( Jack )
track down the commit Jack labeled;committer ( Jack )
identify the commit Jack tagged;committer ( Jack )
retrieve the commit Jack annotated;committer ( Jack )
find the commit Jack labeled with a tag;committer ( Jack )
locate the commit Jack associated with a tag;committer ( Jack )
discover the commit Jack tagged for release;committer ( Jack )
search for the commit Jack labeled as a release;committer ( Jack )
uncover the commit Jack flagged;committer ( Jack )
seek out the commit Jack marked for attention;committer ( Jack )
identify the commit Jack singled out;committer ( Jack )
retrieve the commit Jack pointed to;committer ( Jack )
find the commit Jack indicated;committer ( Jack )
locate Lucy's commit;committer ( Lucy )
retrieve Lucy's commit;committer ( Lucy )
search for Lucy's commit;committer ( Lucy )
uncover Lucy's commit;committer ( Lucy )
seek out Lucy's commit;committer ( Lucy )
track down Lucy's commit;committer ( Lucy )
identify Lucy's commit;committer ( Lucy )
retrieve the commit Lucy made;committer ( Lucy )
find the commit Lucy submitted;committer ( Lucy )
locate the commit Lucy created;committer ( Lucy )
discover the commit Lucy made;committer ( Lucy )
search for the commit Lucy authored;committer ( Lucy )
uncover the commit Lucy pushed;committer ( Lucy )
seek out the commit Lucy committed;committer ( Lucy )
track down the commit Lucy added;committer ( Lucy )
identify the commit Lucy contributed;committer ( Lucy )
retrieve the commit Lucy modified;committer ( Lucy )
find the commit Lucy pushed;committer ( Lucy )
locate the commit Lucy revised;committer ( Lucy )
discover the commit Lucy amended;committer ( Lucy )
search for the commit Lucy updated;committer ( Lucy )
uncover the commit Lucy synchronized;committer ( Lucy )
seek out the commit Lucy merged;committer ( Lucy )
track down the commit Lucy integrated;committer ( Lucy )
identify the commit Lucy merged;committer ( Lucy )
retrieve the commit Lucy applied;committer ( Lucy )
find the commit Lucy staged;committer ( Lucy )
locate the commit Lucy finalized;committer ( Lucy )
discover the commit Lucy published;committer ( Lucy )
search for the commit Lucy released;committer ( Lucy )
uncover the commit Lucy deployed;committer ( Lucy )
seek out the commit Lucy rolled out;committer ( Lucy )
track down the commit Lucy pushed live;committer ( Lucy )
identify the commit Lucy committed to the repository;committer ( Lucy )
retrieve the commit Lucy checked in;committer ( Lucy )
find the commit Lucy verified;committer ( Lucy )
locate the commit Lucy validated;committer ( Lucy )
